dataset_id,dataset_name,publisher,official_landing_page,direct_download,coverage_frequency,geography,key_fields,evidence_role,dashboard_use,status,critical_caveat
DOSM_LFS_DISTRICT,Principal Labour Force Statistics by Administrative District,DOSM,https://data.gov.my/data-catalogue/lfs_district,https://storage.dosm.gov.my/labour/lfs_district.csv,Annual,District,"state; district; date; lf; lf_employed; lf_unemployed; u_rate; p_rate; ep_ratio",OBSERVED,P2 labour denominator,VERIFIED,"140 of 160 districts represented; annual only"
DOSM_EMPLOYMENT_SECTOR,Employment by Economic Sector,DOSM,https://data.gov.my/data-catalogue/employment_sector,https://storage.dosm.gov.my/labour/employment_sector.csv,Annual,Malaysia,"date; sector; sex; proportion",OBSERVED,Broad sector structure input,VERIFIED,"National broad sectors; not district tourism employment"
DOSM_HH_INCOME_DISTRICT,Household Income by Administrative District,DOSM,https://data.gov.my/data-catalogue/hh_income_district,https://storage.dosm.gov.my/hies/hh_income_district.csv,Periodic,District,"state; district; date; income_mean; income_median",OBSERVED,Optional vulnerability context,VERIFIED,"Nominal income; district series begins in 2019"
DOSM_POPULATION_DISTRICT,Population by Administrative District,DOSM,https://data.gov.my/data-catalogue/population_district,https://storage.dosm.gov.my/population/population_district.csv,Annual,District,"date; state; district; sex; age; ethnicity; population",OBSERVED,Map denominator and context,VERIFIED,"Population is in thousands; not a workforce count"
DOF_FISH_LANDINGS,Fish Landings by State and Coast,Department of Fisheries,https://data.gov.my/data-catalogue/fish_landings,https://storage.data.gov.my/agriculture/fish_landings.csv,Monthly,"State and coast","date; coast; state; landings",OBSERVED,P3 counter-seasonality input,VERIFIED,"Landing location is not catch location; registered establishments only"
MET_NEM_2020_21,Northeast Monsoon 2020/21 onset and withdrawal,METMalaysia,https://www.met.gov.my/data/research/researchpapers/2023/RP01_2023.pdf,,Season,Malaysia,"onset_date; withdrawal_date; exposure_days",OBSERVED,P1 Monsoon Share,VERIFIED,"Manual transcription from official PDF; retain page citation and screenshot"
MET_NEM_2024_25,Northeast Monsoon 2024/25 onset and withdrawal,METMalaysia,https://www.met.gov.my/data/research/researchpapers/2025/RP01_2025.pdf,,Season,Malaysia,"NEMI onset_date; withdrawal_date; exposure_days",OBSERVED,P1 Monsoon Share,VERIFIED,"Use NEMI consistently; paper also discusses an alternative onset method"
DOSM_DTS_QUARTERLY,Domestic Tourism Survey quarterly releases,DOSM,https://www.dosm.gov.my/portal-main/release-archive/975c3266-8b81-11ed-96a6-1866daa77ef9,,Quarterly,Malaysia,"visitors; tourists; expenditure",OBSERVED,P1 temporal tourism signal,VERIFIED,"Quarterly release is national; do not present it as state or district observed data"
DOSM_DTS_STATES,Domestic Tourism Survey by State,DOSM,https://www.dosm.gov.my/portal-main/release-content/domestic-tourism-survey-states-2024,,Annual,State,"visitors; trips; expenditure; travel characteristics",OBSERVED,State scaling and tourism-dependency context,VERIFIED,"Annual state context; not quarterly"
MASCO_2020,Malaysia Standard Classification of Occupations 2020,Ministry of Human Resources,https://emasco.mohr.gov.my/intro,https://jtksm.mohr.gov.my/sites/default/files/2022-12/MASCO_2020_BI_Edaran.pdf,Classification,Malaysia,"occupation_code; title; task description",OBSERVED TEXT,P3 occupation corpus,VERIFIED,"Every extracted passage needs code and page or URL"
HRD_INDSF_HOTEL,Industrial Skills Framework Hotel Industry,HRD Corp,https://hpc.hrdcorp.gov.my/,,Framework,Malaysia,"job roles; skills; career pathways",OBSERVED TEXT,P3 training and skill corpus,PARTIALLY_VERIFIED,"Confirm judge-accessible document URL before citing individual course records"
MOTAC_HOMESTAY_2026,Homestay and Kampungstay Statistics July 2026,MOTAC,https://www.motac.gov.my/wp-content/uploads/2026/09/7.-Statistics-Report-as-of-July-2026.pdf,,Periodic,"State and named localities","programme; village; operator counts",OBSERVED,P3 Level 2 capacity proxy,VERIFIED,"Proxy for sector presence only; not vacancy or absorption capacity"
TOURISM_STATS_2024,Malaysia Tourism Statistics in Brief 2024,Tourism Malaysia,https://data.tourism.gov.my/frontend/pdf/New_Final_Malaysia%20Tourism%20Statistics%20in%20Brief%202024.pdf,,Annual,"State and locality tables","hotel guests; AOR; hotels; rooms",OBSERVED,Tourism dependency and accommodation context,VERIFIED,"Annual/static; not a monthly district tourism series"
